Name,Designation,Company,Country,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
Dmytro Kolechko,Chief Executive Officer,Wing Bank (Cambodia) Plc.,Cambodia,dmytro-kolechko-019a8473,https://www.linkedin.com/in/dmytro-kolechko-019a8473/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Enoch Malisa,"Head, Business Development",PayInc,Zambia,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Esam Alkheshnam,Chief Executive Officer,KNET,Kuwait,esam-alkheshnam-44a80b13,https://www.linkedin.com/in/esam-alkheshnam-44a80b13/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/esam-alkheshnam-44a80b13/; margin=1.00,https://globalfintechfest.com/speakers
Frederick Dsouza,President & Business Head Credit Cards,Kotak Mahindra Bank,India,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/frederick-dsouza-2ab22b12/; margin=0.00,https://globalfintechfest.com/speakers
G Padmanabhan,Former Executive Director,Reserve Bank of India,India,gopalaraman-padmanabhan-62934311,https://www.linkedin.com/in/gopalaraman-padmanabhan-62934311/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Gary Yang,APAC President,Adyen,Singapore,garyyang,https://www.linkedin.com/in/garyyang/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Gopal Srinivasan,Chairman & Managing Director,TVS Capital Funds,India,gopal-srinivasan-4630808,https://www.linkedin.com/in/gopal-srinivasan-4630808/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Harshil Mathur,CEO & Co-founder,Razorpay,India,harshilmathur,https://www.linkedin.com/in/harshilmathur/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/harshilmathur/; margin=0.10,https://globalfintechfest.com/speakers
Irene Venter,Deputy Director National Payment System,Bank of Namibia,Namibia,irene-venter-9b82902b,https://www.linkedin.com/in/irene-venter-9b82902b/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/irene-venter-9b82902b/; margin=1.00,https://globalfintechfest.com/speakers
Javier Salinas,President,Fintech Association of Peru,Peru,,,ambiguous,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/javier-salinas-915a0838/; margin=0.00,https://globalfintechfest.com/speakers
Jo Yeoh,Payments development division head at MAS,Monetary Authority of Singapore,Singapore,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Johannes Lamsfuß,Legal Officer,German Federal Ministry of Finance,Germany,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Kenneth Gay,Chief Fintech Officer,Monetary Authority of Singapore,Singapore,kenneth-gay-6a895593,https://www.linkedin.com/in/kenneth-gay-6a895593/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/kenneth-gay-6a895593/; margin=1.00,https://globalfintechfest.com/speakers
Srinivasu MN,"Co-founder, Director",BillDesk,India,srinivasu,https://www.linkedin.com/in/srinivasu/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/srinivasu/; margin=1.00,https://globalfintechfest.com/speakers
Pablo Londono,MD - Payment Services MEA-TR,Amazon,United Arab Emirates,pablo-l-2487683,https://www.linkedin.com/in/pablo-l-2487683/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Sameer Nigam,Founder & CEO,PhonePe,India,sanigam,https://www.linkedin.com/in/sanigam/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Sharath Bulusu,Director Product,Google Pay,India,sharathbulusu,https://www.linkedin.com/in/sharathbulusu/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/sharathbulusu/; margin=1.00,https://globalfintechfest.com/speakers
Sohini Rajola,Executive Director - Growth,National Payments Corporation of India,India,sohinirajola,https://www.linkedin.com/in/sohinirajola/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/sohinirajola/; margin=1.00,https://globalfintechfest.com/speakers
Nigel Fulchan,Chairman,National Payment & Innovation Company of Trinidad & Tobago,Trinidad and Tobago,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Lalitha Nataraj,Managing Director & CEO,BHIM,India,lalitha-nataraj-546b99a,https://www.linkedin.com/in/lalitha-nataraj-546b99a/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Sachin Bansal,Co-Founder and Executive Chairman,Navi,India,sachinbansal,https://www.linkedin.com/in/sachinbansal/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Kisukyabo Simwaka,Deputy Governor - Operations,Reserve Bank of Malawi,Malawi,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Sruthijith KK,Executive Editor,The Economic Times,India,sruthijith,https://www.linkedin.com/in/sruthijith/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/sruthijith/; margin=1.00,https://globalfintechfest.com/speakers
Ulrike Schmitz,"Head of Unit 'Digital Finance; Payment Systems, Artificial Intelligence and Cybersecurity in Financial Markets'",German Federal Ministry of Finance,Germany,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/dr-ulrike-schmitz-575665b2/; margin=1.00,https://globalfintechfest.com/speakers
Paul van van Sint Fiet,"Managing Director, Head of Cross-Currency Solutions, APAC",JPMorgan,Singapore,paulvansintfiet,https://www.linkedin.com/in/paulvansintfiet/,matched,1.0,similar_name; company_match; designation_match; candidate=https://www.linkedin.com/in/paulvansintfiet/; margin=1.00,https://globalfintechfest.com/speakers
Shereen Bhan,Managing Editor,CNBC TV18,India,shereenbhanofficial,https://www.linkedin.com/in/shereenbhanofficial/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/shereenbhanofficial/; margin=0.40,https://globalfintechfest.com/speakers
Karina Ley Chinguel Degregori,Partner,Vodanovic,Peru,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Sukhvinder Kaur,Deputy Managing Director,State Bank of India,India,sukhvinder-kaur68,https://www.linkedin.com/in/sukhvinder-kaur68/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/sukhvinder-kaur68/; margin=0.30,https://globalfintechfest.com/speakers
Lizzie Chapman,Co-founder,Baysys,India,lizzie-chapman-fintech,https://www.linkedin.com/in/lizzie-chapman-fintech/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/lizzie-chapman-fintech/; margin=1.00,https://globalfintechfest.com/speakers
Rahul Chari,Founder & CTO,PhonePe,India,rahulchari,https://www.linkedin.com/in/rahulchari/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/rahulchari/; margin=1.00,https://globalfintechfest.com/speakers
Rajesh Thapar,CISO,NSE India,India,rajesh-thapar-6110025,https://www.linkedin.com/in/rajesh-thapar-6110025/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/rajesh-thapar-6110025/; margin=1.00,https://globalfintechfest.com/speakers
Shergeran Roberto Naidoo,Head of Stakeholder Engagement,PayInc,South Africa,shergeran-roberto-naidoo,https://www.linkedin.com/in/shergeran-roberto-naidoo/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/shergeran-roberto-naidoo/; margin=1.00,https://globalfintechfest.com/speakers
Madhusudanan R,Co-Founder,M2P Fintech,India,madhusudanan-r-founder-of-m2p-talk-to-me-if-you-are-building-a-fintech,https://www.linkedin.com/in/madhusudanan-r-founder-of-m2p-talk-to-me-if-you-are-building-a-fintech/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
TS Anil,CEO,Monzo Bank,United Kingdom,tsanil,https://www.linkedin.com/in/tsanil/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Rakesh Purohit,Global Product Head of Cross Currency Payments & Solutions,J.P. Morgan,United States of America,rakesh-purohit,https://www.linkedin.com/in/rakesh-purohit/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Prashant Muddu,MD & CEO,Jocata,India,prashantmuddu,https://www.linkedin.com/in/prashantmuddu/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/prashantmuddu/; margin=1.00,https://globalfintechfest.com/speakers
Rakesh Kashyap,Deputy Managing Director,National Bank for Agriculture and Rural Development,India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Vibhav Hathi,Co-founder & CBO,"OneCard, and Chairman, FCC",India,vibhav-hathi-9893141,https://www.linkedin.com/in/vibhav-hathi-9893141/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Vishwas Patel,Joint Managing Director,"Infibeam Avenues & Chairman, PCI",India,vishwaspatel,https://www.linkedin.com/in/vishwaspatel/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Mike Walters,Chief Executive Officer,Form3,United Kingdom,mike-walters-2574b2a,https://www.linkedin.com/in/mike-walters-2574b2a/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/mike-walters-2574b2a/; margin=0.30,https://globalfintechfest.com/speakers
Ritesh Shukla,Managing Director & CEO,NPCI International Payments (NIPL),India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Muzaffer Hamid,CEO,Mercury Payments,United Arab Emirates,muzaffer-hamid-8139536,https://www.linkedin.com/in/muzaffer-hamid-8139536/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Ritu Singh,Deputy Editor,CNBC-TV18,India,ritu-singh-b013931b3,https://www.linkedin.com/in/ritu-singh-b013931b3/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/ritu-singh-b013931b3/; margin=1.00,https://globalfintechfest.com/speakers
Roelant Prins,Chief Commercial Officer,Adyen,Netherlands,roelantprins,https://www.linkedin.com/in/roelantprins/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/roelantprins/; margin=1.00,https://globalfintechfest.com/speakers
Roshan Regmi,Chief Information and Digitial Officer,NMB Bank Limited,Nepal,roshanregmi,https://www.linkedin.com/in/roshanregmi/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/roshanregmi/; margin=1.00,https://globalfintechfest.com/speakers
Neelesh Pradhan,CEO,Nepal Clearing House,Nepal,nilesshpradhan,https://www.linkedin.com/in/nilesshpradhan/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/nilesshpradhan/; margin=0.20,https://globalfintechfest.com/speakers
Paul Stamas,"Managing Director, Global Head of Financial Services",General Atlantic,United States of America,paulstamas,https://www.linkedin.com/in/paulstamas/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/paulstamas/; margin=1.00,https://globalfintechfest.com/speakers
Ryan Rugg,Head of Blockchain Strategy and DLT Implementation,Citibank,United States of America,ryanrugg,https://www.linkedin.com/in/ryanrugg/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Valeria Ndapunikwa Mbango,"Director: Strategy, Projects and Transformation",Bank of Namibia,Namibia,valeria-ndapunikwa-mbango-b050a538,https://www.linkedin.com/in/valeria-ndapunikwa-mbango-b050a538/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/valeria-ndapunikwa-mbango-b050a538/; margin=1.00,https://globalfintechfest.com/speakers
Aashish Goel,"Professor, Management Science and Engineering, of Computer Science",Stanford University,United States of America,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/aashish-goel-47655714b/; margin=1.00,https://globalfintechfest.com/speakers
Abeneazer Wondwossen Lakew,Chief Portfolio Officer,Ethswitch,Ethiopia,abeneazer-lakew-1ab45b124,https://www.linkedin.com/in/abeneazer-lakew-1ab45b124/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Abhinav Parashar,CEO and Co-Founder,Digio,India,abhinavparashar,https://www.linkedin.com/in/abhinavparashar/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Abhishek Dwivedi,Managing Director & CEO,Navi,India,abhishekd4u,https://www.linkedin.com/in/abhishekd4u/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Abhishek Gandhi,Co-founder and Chief Business Officer,FatakPay Digital,India,abhishekmgandhi,https://www.linkedin.com/in/abhishekmgandhi/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Abhishek Poddar,Chief Product & Growth Officer,Reserve Bank Innovation Hub (RBIH),India,abhishekpoddar,https://www.linkedin.com/in/abhishekpoddar/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Adelia Castelino,Co-founder and Managing Director,In-Solutions Global Limited,India,adelia-castelino,https://www.linkedin.com/in/adelia-castelino/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/adelia-castelino/; margin=1.00,https://globalfintechfest.com/speakers
Aditya Bhamidipaty,Founder & CEO,FirstHive,United States of America,adityabhamidipaty,https://www.linkedin.com/in/adityabhamidipaty/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Ajay K Sood,Deputy Managing Director,National Bank for Agriculture and Rural Development,India,ajay-kumar-sood-79827759,https://www.linkedin.com/in/ajay-kumar-sood-79827759/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Ajay Rajan,Managing Director & CEO,Protean eGov Technologies,India,ajay-rajan-194b0325,https://www.linkedin.com/in/ajay-rajan-194b0325/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/ajay-rajan-194b0325/; margin=1.00,https://globalfintechfest.com/speakers
Ajay Trehan,Founder and CEO,AuthBridge,India,ajaytrehan,https://www.linkedin.com/in/ajaytrehan/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Akhil Devmurari,"FinTech Sector Head, Asia Pacific, J.P. Morgan Payments",J.P. Morgan,Singapore,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Ambar Sur,Founder & CEO,TerraPay,United Arab Emirates,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/ambarsur/; margin=1.00,https://globalfintechfest.com/speakers
Amir Nagammy,Founder & Group CEO,WIZZ FINANCIAL,United Arab Emirates,amirnagammy,https://www.linkedin.com/in/amirnagammy/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Amitava Chatterjee,Managing Director & CEO,J&K Bank,India,,,ambiguous,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/65amitava/; margin=0.00,https://globalfintechfest.com/speakers
Anil Goteti,Founder,Scapia,India,anilgoteti,https://www.linkedin.com/in/anilgoteti/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/anilgoteti/; margin=1.00,https://globalfintechfest.com/speakers
Anil Pinapala,Founder & MD,Vivifi India Finance Private Limited,India,anil-k-pinapala-57aaa5,https://www.linkedin.com/in/anil-k-pinapala-57aaa5/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Anirudh Arun,CEO,Agentic Universe,India,anirudh-arun-2823b3204,https://www.linkedin.com/in/anirudh-arun-2823b3204/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/anirudh-arun-2823b3204/; margin=1.00,https://globalfintechfest.com/speakers
Ankit Durga,Chief Executive Officer,Fundamento AI,India,ankitdurga,https://www.linkedin.com/in/ankitdurga/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Ankit Jain,Group Head of Product- Inperson payment and currency solutions,Network international,United Arab Emirates,ankit-jain-381621b4,https://www.linkedin.com/in/ankit-jain-381621b4/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/ankit-jain-381621b4/; margin=0.40,https://globalfintechfest.com/speakers
Ankur Agrawal,Chief Business Officer,Sinch,India,ankur-agrawal-3a09b37,https://www.linkedin.com/in/ankur-agrawal-3a09b37/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Anna Sheard,Creative Director,Interledger Foundation,United Kingdom,anna-sheard-850724141,https://www.linkedin.com/in/anna-sheard-850724141/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Anuj Khosla,Chief Executive Officer,Hitachi Payments,India,ankhosla,https://www.linkedin.com/in/ankhosla/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/ankhosla/; margin=1.00,https://globalfintechfest.com/speakers
Anupam Vasdani,Group Chief Financial Officer,True Balance India Pvt. Ltd.,India,anupam-vasdani-14594a6,https://www.linkedin.com/in/anupam-vasdani-14594a6/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Arif Khan,Chief Innovation Officer,Razorpay Software Limited,India,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/arif-khan-b15455152/; margin=1.00,https://globalfintechfest.com/speakers
Ashish Kashyap,Founder & CEO,INDmoney,India,ashishkashyap,https://www.linkedin.com/in/ashishkashyap/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/ashishkashyap/; margin=1.00,https://globalfintechfest.com/speakers
Ashish Runwal,Chief Executive Officer,Ruloans Financial Services Pvt Ltd,India,ashish-runwal-a8457719,https://www.linkedin.com/in/ashish-runwal-a8457719/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/ashish-runwal-a8457719/; margin=1.00,https://globalfintechfest.com/speakers
Ashish Shah,Deputy Managing Director,BOBCARD,India,ashish-shah-b13b1111,https://www.linkedin.com/in/ashish-shah-b13b1111/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/ashish-shah-b13b1111/; margin=1.00,https://globalfintechfest.com/speakers
Ashwini Kumar Tewari,Managing Director (CB&S),State Bank of India,India,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Dharshan Shanthamurthy,Founder & CEO,SISA,India,,,ambiguous,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/dharshan-shanthamurthy-b925b84/; margin=0.00,https://globalfintechfest.com/speakers
Nitin Chugh,MD & Group CEO,Perfios Software Solutions Private Ltd.,India,nitinchugh71,https://www.linkedin.com/in/nitinchugh71/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Bhavin Patel,CEO & Co-Founder,LenDenClub,India,bhavinpatel2022,https://www.linkedin.com/in/bhavinpatel2022/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Avinash Raghavendra,President & CIO,Axis Bank,India,avinash-raghavendra-7254b413,https://www.linkedin.com/in/avinash-raghavendra-7254b413/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/avinash-raghavendra-7254b413/; margin=1.00,https://globalfintechfest.com/speakers
Gaurav Mathur,Founder and CEO,Digital Gold India,India,gauravmathur-safegold,https://www.linkedin.com/in/gauravmathur-safegold/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Carlin Crasto,Chief Technology Officer,86400,India,carlincrasto,https://www.linkedin.com/in/carlincrasto/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Balaji Narayanamurthy,Chief Data Officer,IndusInd Bank Ltd,India,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/narayanamurthy-balaji/; margin=1.00,https://globalfintechfest.com/speakers
Atul Mehta,CEO,Pay10,India,atulmehta07,https://www.linkedin.com/in/atulmehta07/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Devraj Sanyal,"Chief of AI, and Data Science Officer",Reserve Bank Innovation Hub (RBIH),India,devraj-sanyal-754b111a1,https://www.linkedin.com/in/devraj-sanyal-754b111a1/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
Gaurav Mittal,Co- Founder & CEO,Vegapay,India,gaurav-mittal-8084349,https://www.linkedin.com/in/gaurav-mittal-8084349/,provided,1.0,event page linkedinProfile,https://globalfintechfest.com/speakers
